,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
0,10,Alamance-Burlington,1491,210,14.08,22237,1437,11331,57.42,14.76,233,3.31,163,7.33,8055,7875,5169,96,0.43171291100000003,291,1.308629761,5203,23.39794037,4823,21.68907676,11648,52.38116652,30,0.134910285,781,3.512164411,7944,1108,5113,1724,41-Rural: Fringe,41,3
1,20,Alexander,338,34,10.06,5320,427,2431,53.72,15.74,42,2.49,57,10.71,8638,8317,5331,9,0.169172932,109,2.04887218,402,7.556390977,206,3.872180451,4502,84.62406015,0,0.0,157,2.95112782,8378,1123,5889,1366,41-Rural: Fringe,41,2
2,30,Alleghany,119,10,8.4,1392,170,812,70.55,11.5,13,2.97,7,5.03,11097,10667,6378,1,0.07183908,4,0.287356322,279,20.04310345,9,0.6465517239999999,1195,85.84770115,0,0.0,19,1.3649425290000001,10935,1160,7433,2342,43-Rural: Remote,43,2
3,40,Anson,256,46,17.97,3610,269,2588,79.14,15.56,46,4.06,15,4.16,10981,10618,6099,20,0.55401662,56,1.551246537,117,3.24099723,2126,58.89196676,1242,34.40443213,2,0.055401662000000004,88,2.43767313,11052,2505,7145,1402,42-Rural: Distant,42,4
4,50,Ashe,238,24,10.08,3167,377,1603,62.52,13.36,24,2.48,33,10.42,10340,9290,5706,5,0.157878118,16,0.505209978,289,9.125355226,15,0.473634354,2948,93.08493843,0,0.0,43,1.357751816,9868,1188,6495,2185,41-Rural: Fringe,41,2
5,761,Asheboro City,337,67,19.88,4694,314,3219,75.27,13.19,8,1.23,29,6.18,9277,8718,5557,17,0.362164465,75,1.597784406,1910,40.69024286,737,15.70089476,1944,41.41457179,3,0.06391137599999999,188,4.00511291,8875,1320,5572,1982,31-Town: Fringe,31,4
6,111,Asheville City,326,43,13.19,4081,156,1760,46.95,12.48,44,2.05,37,9.07,12162,11166,6794,10,0.24503798100000002,53,1.298701299,273,6.689536877999999,1093,26.78265131,2472,60.57338888,4,0.09801519199999999,290,7.106101446,12128,1556,5568,5005,13-City: Small,13,3
7,60,Avery,167,20,11.98,2134,224,1102,62.14,13.01,27,3.12,11,5.16,10623,10172,5835,2,0.093720712,10,0.468603561,202,9.46579194,6,0.281162137,1995,93.4864105,4,0.187441425,26,1.21836926,10547,1320,6673,2553,42-Rural: Distant,42,3
8,70,Beaufort,503,68,13.52,6980,444,4253,67.29,13.96,65,4.22,45,6.45,8866,8503,5160,13,0.186246418,19,0.272206304,1003,14.36962751,2367,33.91117479,3585,51.36103152,5,0.071633238,263,3.7679083089999996,8885,1232,5581,2073,41-Rural: Fringe,41,3
9,80,Bertie,184,49,26.63,2619,231,2088,88.55,14.16,108,3.09,6,2.29,10044,9740,5194,17,0.649102711,6,0.22909507399999998,61,2.329133257,2310,88.20160367,424,16.18938526,0,0.0,32,1.221840397,10255,1893,6688,1674,42-Rural: Distant,42,5
